Year,AK-Births,AL-Births,AR-Births,AZ-Births,CA-Births,CO-Births,CT-Births,DC-Births,DE-Births,FL-Births,GA-Births,HI-Births,IA-Births,ID-Births,IL-Births,IN-Births,KS-Births,KY-Births,LA-Births,MA-Births,MD-Births,ME-Births,MI-Births,MN-Births,MO-Births,MS-Births,MT-Births,NC-Births,ND-Births,NE-Births,NH-Births,NJ-Births,NM-Births,NV-Births,NY-Births,OH-Births,OK-Births,OR-Births,PA-Births,RI-Births,SC-Births,SD-Births,TN-Births,TX-Births,UT-Births,VA-Births,VT-Births,WA-Births,WI-Births,WV-Births,WY-Births,US-Births,AK-GDP,AL-GDP,AR-GDP,AZ-GDP,CA-GDP,CO-GDP,CT-GDP,DC-GDP,DE-GDP,FL-GDP,GA-GDP,HI-GDP,IA-GDP,ID-GDP,IL-GDP,IN-GDP,KS-GDP,KY-GDP,LA-GDP,MA-GDP,MD-GDP,ME-GDP,MI-GDP,MN-GDP,MO-GDP,MS-GDP,MT-GDP,NC-GDP,ND-GDP,NE-GDP,NH-GDP,NJ-GDP,NM-GDP,NV-GDP,NY-GDP,OH-GDP,OK-GDP,OR-GDP,PA-GDP,RI-GDP,SC-GDP,SD-GDP,TN-GDP,TX-GDP,UT-GDP,VA-GDP,VT-GDP,WA-GDP,WI-GDP,WV-GDP,WY-GDP,US-GDP
1969,6824,64068,33400,34064,352858,40100,49184,27780,10116,106926,91622,15750,47896,13072,193136,94562,35456,58276,75092,94852,60326,17296,163940,65958,81266,47102,11620,93956,11276,24806,12288,113754,21316,8902,311984,189544,41756,34486,186692,15854,49182,11276,73248,226868,24810,78364,7778,59238,74044,29198,5874,3599036,2074,11866,6232,7563,106629,9480,15628,8096,3069,27428,18082,4262,12332,2750,60840,24212,9166,13206,16321,27476,17385,3695,47895,17681,21095,6801,2761,20882,2178,6537,2817,35852,4091,2947,107031,52817,9622,9353,54486,4113,8874,2273,15167,48575,4036,19638,1798,18091,19521,6381,1801,962906
1970,7464,66878,34746,37362,362682,42544,49852,28202,10476,114484,96918,16488,49096,14078,202388,100006,36264,61164,74920,96312,60558,17690,170754,68196,83730,48034,12444,98404,11558,25948,12870,116838,21820,9390,318968,199682,43682,36006,193412,16176,50856,11592,75740,237114,27564,81310,8182,60284,76764,30656,6368,3734914,2359,12475,6667,8569,111985,10431,16347,8559,3166,30691,19365,4813,12957,3015,62763,24546,9755,13943,17177,29052,18720,3959,46178,18700,22230,7253,2919,22840,2294,6907,3050,38492,4431,3262,112349,53714,10369,9798,56670,4311,9556,2438,16100,52314,4448,21048,1980,18112,20193,7088,1943,1012301
1971,7244,66188,35040,38296,329816,41148,44856,25926,9896,115744,95050,15836,45724,13924,192694,96142,34252,61632,73398,89452,57492,17742,161144,62584,81364,48334,12234,95752,10900,25670,12578,109546,22120,9598,285780,190100,44102,34174,182012,15168,51680,11408,74998,236178,28192,78564,7770,54956,71392,31372,5964,3563126,2540,13624,7440,9649,120372,11998,17129,9180,3623,34161,21570,5188,13666,3265,67379,26882,10825,15568,18634,30989,20501,4207,51704,20035,24245,7923,3143,25036,2632,7660,3332,41307,4822,3611,119145,57975,11278,10864,60293,4599,10551,2656,17867,57344,4936,23157,2122,18761,22083,7602,2100,1097173
1972,6892,61206,33040,37278,306538,39480,39142,22602,8878,109186,88472,15410,41294,13704,175588,87600,31500,56372,68714,79160,51038,16229,146026,56516,75135,45560,11314,89340,10578,23686,11387,97760,20650,8868,254946,169284,41094,32132,164094,13495,48598,10672,69492,222006,27548,71548,7137,47928,64214,29696,5868,3265895,2743,15356,8494,11292,133143,13784,18799,9896,3984,39709,24610,5624,15311,3773,73501,29954,12127,16915,20294,33807,22644,4625,56579,21925,26414,9183,3661,28005,3078,8487,3626,45388,5406,3990,127221,62941,12738,12221,65390,5114,11897,3046,20326,64019,5604,26064,2294,20483,24064,8391,2356,1210296
1973,6566,58944,32764,37852,298062,39460,37014,20652,8282,107174,86464,15356,39250,14102,166700,84096,30662,54966,66766,74140,47332,15604,140370,53872,70839,44128,11232,85828,10388,22994,10959,92774,20470,8500,240315,160714,39488,31724,154398,12647,47636,10510,67802,218726,28656,68470,6519,47186,62542,27868,5940,3145703,3041,17428,9886,13330,147231,16120,20808,10400,4516,46973,28226,6353,18502,4481,81286,33972,14000,18903,22735,36912,25112,5203,62907,26001,29275,10557,4341,31755,4404,9961,4173,49301,6189,4530,136396,69837,14483,14180,71852,5418,13761,3958,23150,73840,6473,29450,2483,23342,27037,9187,2844,1356503
1974,7014,58920,33856,39846,312018,39815,36360,19850,8438,109780,84676,15512,40562,15160,166532,83428,31295,54326,65982,71882,46710,14753,136421,55844,71915,43562,12084,84288,10712,23962,11428,91862,21112,8782,241011,160846,40952,33438,152534,11696,47005,10962,67986,221256,30648,67970,6550,49670,65112,27722,6296,3170341,3999,19454,10865,14611,161815,17852,22502,11424,4737,52123,30378,7143,19341,5186,88070,35606,15063,21173,26892,39313,27381,5603,63034,27689,30468,11281,4661,33607,4506,10440,4470,52987,7116,4966,145419,74206,16204,15424,78201,5599,15312,3966,25106,85387,7348,32428,2577,26240,28694,10684,3470,1472021
1975,7392,57498,33628,39416,317598,40623,35626,19772,8412,105116,81444,15758,41771,15860,166882,82484,32363,55980,68136,69744,45807,14771,132783,56764,70787,43400,11815,80806,11272,23908,11073,89014,20840,8844,237683,158936,41315,34312,149900,10957,45147,11128,65752,224754,32406,67378,6438,50424,65000,27888,6588,3153393,6220,21346,11942,15284,178394,20166,23976,12712,5026,55288,31995,8173,21993,5835,95880,37677,16855,22810,30675,41910,29597,5996,67046,29683,33001,12292,5218,35998,4869,11875,4842,56052,8098,5529,155256,78141,18163,16823,84120,6002,16030,4400,26646,98804,8186,35067,2807,29282,32295,11973,3983,1602231
1976,7816,57282,33292,40038,332220,41345,35398,19904,8300,104005,80864,16402,42131,16884,167679,80610,33538,56964,70002,67656,45514,14519,130259,56939,71319,42676,12360,80583,11394,24019,11087,87764,21646,9530,237034,155524,42264,35613,149296,11102,46082,11488,65653,227409,36220,67246,6444,52804,64696,28583,6890,3176287,7470,24324,13704,16970,197347,22253,26234,13945,5470,58729,36425,8526,24437,6591,104819,43775,18953,26040,34413,45498,32612,6968,78770,32840,37211,14552,6032,40454,5052,13042,5511,60496,9254,6263,163284,87419,20822,19758,90743,6528,18177,4646,30549,113758,9300,39574,3222,32735,37033,13249,4722,1780499
1977,8286,61076,34702,41816,347428,43544,36302,20666,8794,110395,86306,16976,45351,18292,174441,85314,34932,59923,75571,69559,48341,15590,137143,60654,75688,45292,13055,84872,12232,25558,12130,91196,22600,10091,241450,161924,43905,38448,154714,11937,47974,11860,70019,234985,38814,71526,6746,57086,68379,30467,7726,3332076,7544,26725,15182,19609,229592,25428,29598,15581,6056,65272,40785,9441,27011,7206,115077,47901,20539,29177,39670,50719,35555,7647,89326,36830,41150,15957,6350,43822,5243,13874,6298,65839,10102,7416,179890,96996,24022,22047,99024,7245,20103,5116,33598,130404,10381,43219,3347,36826,40686,14439,5541,1986406
1978,8752,59185,33822,43012,356180,44511,36996,19660,8958,112933,85996,16752,44979,18878,171710,83513,34795,58295,75029,70311,48227,15297,137900,62387,75283,44148,13243,82801,12126,25424,12357,90676,23264,10811,235024,161049,44266,40015,153304,11785,47654,12104,70248,242548,39758,70651,6910,58421,68387,29732,8166,3338233,9130,30547,17477,23279,262803,29398,33231,16953,6747,75681,46154,10509,30763,8450,128122,53729,22824,32683,45212,56883,39526,8449,99335,41641,46176,17758,7443,49867,6417,15851,7389,72918,11536,8932,200063,107554,27105,25391,110054,7975,22976,5971,38182,149091,11998,48379,3942,42668,45423,15957,6689,2243231
1979,9005,61688,35406,46714,379212,47741,38445,20232,9184,120774,89582,17568,47321,19533,181153,87380,37419,60030,79365,72283,50980,15810,143237,65744,78562,45628,13804,84249,12752,26566,12819,93370,24768,12293,236975,167117,47389,42870,159073,12251,48631,12858,72148,260561,42095,73949,7292,63819,72839,30198,9055,3499737,10891,33712,19099,27495,293491,33785,36855,18417,7304,86263,51550,11869,33496,9286,139253,57918,26300,35838,51653,62965,43628,9335,105413,46861,50601,20011,8173,54515,7218,17423,8351,81051,13141,10295,217725,117117,31546,28372,120527,8845,25507,6716,42194,171608,13709,53398,4399,48713,50101,17424,8063,2489420
1980,9462,62370,36338,50078,403014,50167,38523,20262,9574,131470,93976,18217,48378,19657,186773,88560,39468,60312,82208,74254,52570,15875,144077,68289,80770,47399,13874,85102,12960,27672,13718,93724,25476,13191,239993,169581,50472,44221,160244,12574,49810,13158,72909,279785,42801,75330,7690,67492,74365,29952,9813,3617948,15282,36143,20276,30764,327959,38332,40770,19862,7898,97899,56229,13380,34582,9916,145264,58871,28298,37017,63926,69684,47522,10263,104135,50219,52420,21353,8925,58791,7645,18294,9263,88334,15731,11633,235746,121228,37608,30001,127181,9626,27607,6760,44972,203073,15311,58669,4856,52682,52899,18409,10428,2713936
1981,9985,60592,34716,51624,420892,52504,39761,19726,9442,138121,91738,18230,46607,19229,181856,84511,40135,57988,82206,75545,54327,15875,139412,68974,78538,45782,13999,84463,13388,27514,13714,93428,26084,13881,243252,167584,52091,44150,161800,12866,49473,12674,70753,288362,42384,76231,7636,69141,73821,28371,10104,3635480,21824,40257,22891,34269,368808,43974,45642,21740,8839,112167,63751,14640,38272,10677,159649,64724,31978,41068,77201,77833,53117,11255,114676,55404,57763,24023,10201,65869,9955,20863,10480,98755,18511,13203,261840,132782,45430,31590,138573,10730,31048,7661,50265,245235,17320,66179,5436,58918,57494,19837,12703,3057320
1982,11146,59229,34325,52394,429864,55202,40141,19824,9526,144182,91984,18734,45427,19287,180227,84014,39910,57147,84637,77451,57184,16055,137128,68995,78334,45537,14236,86603,13622,27243,14147,95575,27203,14400,248145,165261,57230,42093,163198,13032,49287,12722,71089,303016,42761,77830,7766,68988,73932,27937,10174,3685374,23461,41778,23527,35794,393788,47654,50196,22958,9499,122282,68451,15740,37289,10689,164267,64982,33491,42184,78067,83777,56339,12115,115166,57472,60699,24614,10207,68971,9954,21265,11407,105759,19242,13885,282227,134636,49317,31594,142077,11420,32353,7709,52045,260085,18366,71465,5755,62933,59489,20511,12422,3211373
1983,11868,58105,34261,53464,436060,55015,40954,19050,9542,148677,91682,19164,43838,18480,175648,80812,39409,53854,82453,77750,57930,16044,131836,65976,77061,43689,13739,84566,13197,26599,13680,96130,27121,14166,249381,159298,55427,41047,159416,13092,48484,12515,70159,299649,40612,77512,7741,68073,72132,26872,9501,3642731,22591,45679,25292,39774,426143,50718,55528,24573,10611,136768,76738,17260,37481,11834,173119,69335,35257,44092,76881,93054,62205,13239,127754,61950,65538,25967,10584,77543,10046,21820,12629,117962,19882,15060,305288,144897,47701,33727,152042,12323,35850,8123,57073,264883,19752,79439,6269,67949,63170,20403,11578,3445374
1984,12324,58169,34331,54862,447574,54569,42064,19616,9550,155199,93768,18756,42921,17804,176088,80095,38935,52119,81496,79750,59302,16134,134871,67040,76293,43358,13866,86625,12729,26449,14075,98214,27084,14769,251862,159202,53081,40842,158548,13290,48296,12328,69713,303569,39390,79365,7805,68080,72763,25504,9094,3673531,23788,50010,28465,46135,482166,56230,63618,26584,11925,155994,88466,19132,41264,12586,194244,78859,38442,49344,82623,106425,69920,14897,143678,71369,74539,28744,11010,88151,10642,24631,14767,133572,21397,16514,339427,163854,51291,37444,167390,13801,41203,9194,63983,288637,22147,89768,6895,74170,70013,22172,12152,3853672
1985,12693,58622,34514,59319,471155,55440,43815,19938,9882,163611,98033,18329,41743,17326,177447,80957,38500,51856,81649,83307,61530,16244,136757,67523,78760,42719,13217,89980,12734,25884,15308,102426,27296,15216,260287,161232,51874,40778,161951,13674,49510,12056,71506,312598,38443,82952,7825,69297,73302,25259,8780,3765054,26143,53824,29326,50709,523906,59641,69231,28535,13092,170894,98223,20722,42431,13044,206281,82011,40658,51893,84391,116613,76878,16046,153605,75832,77912,30138,10941,96535,10655,25717,16578,145929,22535,17945,364281,174165,52765,39446,176873,15223,43988,9588,68426,307224,24083,97967,7524,77341,73820,22936,12205,4126669
1986,12007,58204,33877,60800,482530,55556,44767,19927,10098,167518,100151,18341,39203,16344,173430,79286,38083,50790,78093,83801,62859,16026,136193,65790,77105,41242,12431,90649,11892,24752,15628,105916,27061,15787,264805,158931,49374,40093,162059,14084,49557,11633,70784,311006,37371,84350,7898,68500,71839,24256,8005,3760682,19181,56134,30799,55881,563082,60970,75305,30079,14138,185852,108089,22437,43226,13220,218696,86438,41795,53199,77107,127155,83744,17382,163458,79450,83330,30996,10979,104785,9773,26045,18369,158836,21807,19731,390104,182644,48997,41730,187386,16622,47748,10067,73288,295721,24282,107348,8169,84015,77824,22880,10522,4340815
1987,11540,58631,34023,63344,503655,54096,46986,20529,10398,175038,103881,18689,38356,15736,177473,78509,37321,50605,74312,86220,65346,16111,138917,64984,76909,40374,11924,93868,11545,24106,16685,110338,26932,16557,272835,158870,46778,39996,163696,14669,50662,11537,72675,305520,36265,87613,7888,69346,70457,23421,7045,3813211,22925,60752,32664,60047,615360,63920,82984,32129,15568,204816,117033,24273,45283,13996,231210,91651,44164,56282,78488,138900,91381,19166,169237,85365,88912,33531,11383,113262,10306,26760,20994,174629,22429,21951,418306,191784,49055,44594,202910,17891,52688,10669,80715,300667,25100,117603,9157,90325,82013,23425,10370,4649023
1988,11105,59917,34139,65655,533429,53518,48152,21351,10959,183968,107023,19051,38361,15563,181679,81635,37574,50381,74236,89958,68083,16520,137965,66409,78331,41269,11393,97868,11441,24266,17053,114585,26686,17894,281569,161647,46401,41345,166771,14689,53003,11253,75595,307563,37021,90291,7871,71396,70385,22801,6768,3913786,21270,66008,35005,64945,671575,67757,90707,35226,16887,224848,126565,26799,49089,15285,252197,99493,46698,61851,83196,151626,101280,21371,180621,91896,95760,35534,11703,124303,9748,29262,22937,194709,23457,24987,456557,205308,52667,49138,220582,19738,57329,11173,87356,327354,27325,128088,10259,99051,89620,25876,10991,5053007
